Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
gpu_offloadOnce,sgemm,86,86,86,86.672,0.99000001,2,0.00842,0.304
gpu_offloadAlways,sgemm,86,86,86,86.672,0.99000001,2,0.00843,0.304
gpu_unified,sgemm,86,86,86,86.672,0.99000001,2,0.00912,0.281
cpu,sgemm,87,87,87,88.699,0.99000001,2,0.15052,0.018
gpu_offloadOnce,sgemm,87,87,87,88.699,0.99000001,2,0.00846,0.313
gpu_offloadAlways,sgemm,87,87,87,88.699,0.99000001,2,0.00859,0.308
gpu_unified,sgemm,87,87,87,88.699,0.99000001,2,0.00948,0.279
cpu,sgemm,88,88,88,90.750,0.99000001,2,0.16049,0.017
gpu_offloadOnce,sgemm,88,88,88,90.750,0.99000001,2,0.00944,0.290
gpu_offloadAlways,sgemm,88,88,88,90.750,0.99000001,2,0.00972,0.282
gpu_unified,sgemm,88,88,88,90.750,0.99000001,2,0.01070,0.256
cpu,sgemm,89,89,89,92.824,0.99000001,2,0.00291,0.974
gpu_offloadOnce,sgemm,89,89,89,92.824,0.99000001,2,0.00931,0.305
gpu_offloadAlways,sgemm,89,89,89,92.824,0.99000001,2,0.01032,0.275
gpu_unified,sgemm,89,89,89,92.824,0.99000001,2,0.01048,0.271
cpu,sgemm,90,90,90,94.922,0.99000001,2,0.17051,0.017
gpu_offloadOnce,sgemm,90,90,90,94.922,0.99000001,2,0.01101,0.266
gpu_offloadAlways,sgemm,90,90,90,94.922,0.99000001,2,0.01146,0.256
gpu_unified,sgemm,90,90,90,94.922,0.99000001,2,0.01191,0.246
cpu,sgemm,91,91,91,97.043,0.99000001,2,0.00327,0.927
gpu_offloadOnce,sgemm,91,91,91,97.043,0.99000001,2,0.01503,0.202
gpu_offloadAlways,sgemm,91,91,91,97.043,0.99000001,2,0.01061,0.286
gpu_unified,sgemm,91,91,91,97.043,0.99000001,2,0.01126,0.269
cpu,sgemm,92,92,92,99.188,0.99000001,2,0.18063,0.017
gpu_offloadOnce,sgemm,92,92,92,99.188,0.99000001,2,0.01170,0.268
gpu_offloadAlways,sgemm,92,92,92,99.188,0.99000001,2,0.01105,0.284
gpu_unified,sgemm,92,92,92,99.188,0.99000001,2,0.01267,0.247
cpu,sgemm,93,93,93,101.355,0.99000001,2,0.19056,0.017
gpu_offloadOnce,sgemm,93,93,93,101.355,0.99000001,2,0.01154,0.280
gpu_offloadAlways,sgemm,93,93,93,101.355,0.99000001,2,0.01167,0.277
gpu_unified,sgemm,93,93,93,101.355,0.99000001,2,0.01368,0.236
cpu,sgemm,94,94,94,103.547,0.99000001,2,0.00373,0.896
gpu_offloadOnce,sgemm,94,94,94,103.547,0.99000001,2,0.01078,0.310
gpu_offloadAlways,sgemm,94,94,94,103.547,0.99000001,2,0.01113,0.300
gpu_unified,sgemm,94,94,94,103.547,0.99000001,2,0.01305,0.256
cpu,sgemm,95,95,95,105.762,0.99000001,2,0.20067,0.017
gpu_offloadOnce,sgemm,95,95,95,105.762,0.99000001,2,0.01183,0.291
gpu_offloadAlways,sgemm,95,95,95,105.762,0.99000001,2,0.01199,0.288
gpu_unified,sgemm,95,95,95,105.762,0.99000001,2,0.01374,0.251
cpu,sgemm,96,96,96,108.000,0.99000001,2,0.21073,0.017
gpu_offloadOnce,sgemm,96,96,96,108.000,0.99000001,2,0.01033,0.344
gpu_offloadAlways,sgemm,96,96,96,108.000,0.99000001,2,0.01175,0.303
gpu_unified,sgemm,96,96,96,108.000,0.99000001,2,0.01350,0.264
cpu,sgemm,97,97,97,110.262,0.99000001,2,0.22073,0.017
gpu_offloadOnce,sgemm,97,97,97,110.262,0.99000001,2,0.01254,0.293
gpu_offloadAlways,sgemm,97,97,97,110.262,0.99000001,2,0.01287,0.285
gpu_unified,sgemm,97,97,97,110.262,0.99000001,2,0.01558,0.235
cpu,sgemm,98,98,98,112.547,0.99000001,2,0.00465,0.813
gpu_offloadOnce,sgemm,98,98,98,112.547,0.99000001,2,0.01190,0.318
gpu_offloadAlways,sgemm,98,98,98,112.547,0.99000001,2,0.01305,0.290
gpu_unified,sgemm,98,98,98,112.547,0.99000001,2,0.01552,0.244
cpu,sgemm,99,99,99,114.855,0.99000001,2,0.23081,0.017
gpu_offloadOnce,sgemm,99,99,99,114.855,0.99000001,2,0.01279,0.305
gpu_offloadAlways,sgemm,99,99,99,114.855,0.99000001,2,0.01282,0.304
gpu_unified,sgemm,99,99,99,114.855,0.99000001,2,0.01595,0.244
cpu,sgemm,100,100,100,117.188,0.99000001,2,0.24086,0.017
gpu_offloadOnce,sgemm,100,100,100,117.188,0.99000001,2,0.01357,0.296
gpu_offloadAlways,sgemm,100,100,100,117.188,0.99000001,2,0.01342,0.300
gpu_unified,sgemm,100,100,100,117.188,0.99000001,2,0.01636,0.246
cpu,sgemm,101,101,101,119.543,0.99000001,2,0.25089,0.017
gpu_offloadOnce,sgemm,101,101,101,119.543,0.99000001,2,0.01473,0.281
gpu_offloadAlways,sgemm,101,101,101,119.543,0.99000001,2,0.01464,0.283
gpu_unified,sgemm,101,101,101,119.543,0.99000001,2,0.01837,0.225
cpu,sgemm,102,102,102,121.922,0.99000001,2,0.00560,0.761
gpu_offloadOnce,sgemm,102,102,102,121.922,0.99000001,2,0.01450,0.294
gpu_offloadAlways,sgemm,102,102,102,121.922,0.99000001,2,0.01511,0.282
gpu_unified,sgemm,102,102,102,121.922,0.99000001,2,0.01833,0.233
cpu,sgemm,103,103,103,124.324,0.99000001,2,0.26098,0.017
gpu_offloadOnce,sgemm,103,103,103,124.324,0.99000001,2,0.01574,0.279
gpu_offloadAlways,sgemm,103,103,103,124.324,0.99000001,2,0.01583,0.278
gpu_unified,sgemm,103,103,103,124.324,0.99000001,2,0.01941,0.226
cpu,sgemm,104,104,104,126.750,0.99000001,2,0.27095,0.017
gpu_offloadOnce,sgemm,104,104,104,126.750,0.99000001,2,0.01596,0.283
gpu_offloadAlways,sgemm,104,104,104,126.750,0.99000001,2,0.01622,0.279
gpu_unified,sgemm,104,104,104,126.750,0.99000001,2,0.01898,0.238
cpu,sgemm,105,105,105,129.199,0.99000001,2,0.28098,0.017
gpu_offloadOnce,sgemm,105,105,105,129.199,0.99000001,2,0.01856,0.251
gpu_offloadAlways,sgemm,105,105,105,129.199,0.99000001,2,0.01913,0.243
gpu_unified,sgemm,105,105,105,129.199,0.99000001,2,0.02219,0.210
cpu,sgemm,106,106,106,131.672,0.99000001,2,0.00662,0.723
gpu_offloadOnce,sgemm,106,106,106,131.672,0.99000001,2,0.01975,0.242
gpu_offloadAlways,sgemm,106,106,106,131.672,0.99000001,2,0.01917,0.250
gpu_unified,sgemm,106,106,106,131.672,0.99000001,2,0.02118,0.226
cpu,sgemm,107,107,107,134.168,0.99000001,2,0.29104,0.017
gpu_offloadOnce,sgemm,107,107,107,134.168,0.99000001,2,0.02015,0.244
gpu_offloadAlways,sgemm,107,107,107,134.168,0.99000001,2,0.01935,0.254
gpu_unified,sgemm,107,107,107,134.168,0.99000001,2,0.02200,0.224
cpu,sgemm,108,108,108,136.688,0.99000001,2,0.30097,0.017
gpu_offloadOnce,sgemm,108,108,108,136.688,0.99000001,2,0.01962,0.258
gpu_offloadAlways,sgemm,108,108,108,136.688,0.99000001,2,0.01992,0.254
gpu_unified,sgemm,108,108,108,136.688,0.99000001,2,0.02264,0.224
cpu,sgemm,109,109,109,139.230,0.99000001,2,0.31114,0.017
gpu_offloadOnce,sgemm,109,109,109,139.230,0.99000001,2,0.02034,0.256
gpu_offloadAlways,sgemm,109,109,109,139.230,0.99000001,2,0.02084,0.250
gpu_unified,sgemm,109,109,109,139.230,0.99000001,2,0.02311,0.225
cpu,sgemm,110,110,110,141.797,0.99000001,2,0.32106,0.017
gpu_offloadOnce,sgemm,110,110,110,141.797,0.99000001,2,0.02105,0.254
gpu_offloadAlways,sgemm,110,110,110,141.797,0.99000001,2,0.02162,0.247
gpu_unified,sgemm,110,110,110,141.797,0.99000001,2,0.02425,0.221
cpu,sgemm,111,111,111,144.387,0.99000001,2,0.33120,0.017
gpu_offloadOnce,sgemm,111,111,111,144.387,0.99000001,2,0.03403,0.161
gpu_offloadAlways,sgemm,111,111,111,144.387,0.99000001,2,0.02394,0.230
gpu_unified,sgemm,111,111,111,144.387,0.99000001,2,0.01228,0.448
cpu,sgemm,112,112,112,147.000,0.99000001,2,0.36410,0.016
gpu_offloadOnce,sgemm,112,112,112,147.000,0.99000001,2,0.02301,0.245
gpu_offloadAlways,sgemm,112,112,112,147.000,0.99000001,2,0.02214,0.255
gpu_unified,sgemm,112,112,112,147.000,0.99000001,2,0.01141,0.495
cpu,sgemm,113,113,113,149.637,0.99000001,2,0.36950,0.016
gpu_offloadOnce,sgemm,113,113,113,149.637,0.99000001,2,0.02346,0.247
gpu_offloadAlways,sgemm,113,113,113,149.637,0.99000001,2,0.02417,0.240
gpu_unified,sgemm,113,113,113,149.637,0.99000001,2,0.00850,0.682
cpu,sgemm,114,114,114,152.297,0.99000001,2,0.38359,0.016
gpu_offloadOnce,sgemm,114,114,114,152.297,0.99000001,2,0.02434,0.245
gpu_offloadAlways,sgemm,114,114,114,152.297,0.99000001,2,0.01881,0.316
gpu_unified,sgemm,114,114,114,152.297,0.99000001,2,0.00944,0.630
cpu,sgemm,115,115,115,154.980,0.99000001,2,0.39917,0.015
gpu_offloadOnce,sgemm,115,115,115,154.980,0.99000001,2,0.02522,0.242
gpu_offloadAlways,sgemm,115,115,115,154.980,0.99000001,2,0.01213,0.504
gpu_unified,sgemm,115,115,115,154.980,0.99000001,2,0.01076,0.568
cpu,sgemm,116,116,116,157.688,0.99000001,2,0.41479,0.015
gpu_offloadOnce,sgemm,116,116,116,157.688,0.99000001,2,0.02245,0.279
gpu_offloadAlways,sgemm,116,116,116,157.688,0.99000001,2,0.01395,0.450
gpu_unified,sgemm,116,116,116,157.688,0.99000001,2,0.01221,0.513
cpu,sgemm,117,117,117,160.418,0.99000001,2,0.43776,0.015
gpu_offloadOnce,sgemm,117,117,117,160.418,0.99000001,2,0.01763,0.365
gpu_offloadAlways,sgemm,117,117,117,160.418,0.99000001,2,0.01098,0.586
gpu_unified,sgemm,117,117,117,160.418,0.99000001,2,0.01278,0.504
cpu,sgemm,118,118,118,163.172,0.99000001,2,0.44881,0.015
gpu_offloadOnce,sgemm,118,118,118,163.172,0.99000001,2,0.01210,0.545
gpu_offloadAlways,sgemm,118,118,118,163.172,0.99000001,2,0.01175,0.562
gpu_unified,sgemm,118,118,118,163.172,0.99000001,2,0.01435,0.460
cpu,sgemm,119,119,119,165.949,0.99000001,2,0.45933,0.015
gpu_offloadOnce,sgemm,119,119,119,165.949,0.99000001,2,0.01232,0.550
gpu_offloadAlways,sgemm,119,119,119,165.949,0.99000001,2,0.01229,0.551
gpu_unified,sgemm,119,119,119,165.949,0.99000001,2,0.01402,0.483
cpu,sgemm,120,120,120,168.750,0.99000001,2,0.46755,0.015
gpu_offloadOnce,sgemm,120,120,120,168.750,0.99000001,2,0.01300,0.534
gpu_offloadAlways,sgemm,120,120,120,168.750,0.99000001,2,0.01312,0.529
gpu_unified,sgemm,120,120,120,168.750,0.99000001,2,0.01474,0.471
cpu,sgemm,121,121,121,171.574,0.99000001,2,0.47783,0.015
gpu_offloadOnce,sgemm,121,121,121,171.574,0.99000001,2,0.01430,0.498
gpu_offloadAlways,sgemm,121,121,121,171.574,0.99000001,2,0.01489,0.478
gpu_unified,sgemm,121,121,121,171.574,0.99000001,2,0.01610,0.442
cpu,sgemm,122,122,122,174.422,0.99000001,2,0.49084,0.015
gpu_offloadOnce,sgemm,122,122,122,174.422,0.99000001,2,0.01698,0.429
gpu_offloadAlways,sgemm,122,122,122,174.422,0.99000001,2,0.01568,0.465
gpu_unified,sgemm,122,122,122,174.422,0.99000001,2,0.01696,0.430
cpu,sgemm,123,123,123,177.293,0.99000001,2,0.50347,0.015
gpu_offloadOnce,sgemm,123,123,123,177.293,0.99000001,2,0.01601,0.467
gpu_offloadAlways,sgemm,123,123,123,177.293,0.99000001,2,0.01641,0.455
gpu_unified,sgemm,123,123,123,177.293,0.99000001,2,0.01766,0.423
cpu,sgemm,124,124,124,180.188,0.99000001,2,0.51180,0.015
gpu_offloadOnce,sgemm,124,124,124,180.188,0.99000001,2,0.01755,0.436
gpu_offloadAlways,sgemm,124,124,124,180.188,0.99000001,2,0.01821,0.421
gpu_unified,sgemm,124,124,124,180.188,0.99000001,2,0.01581,0.484
cpu,sgemm,125,125,125,183.105,0.99000001,2,0.53202,0.015
gpu_offloadOnce,sgemm,125,125,125,183.105,0.99000001,2,0.01918,0.409
gpu_offloadAlways,sgemm,125,125,125,183.105,0.99000001,2,0.01902,0.412
gpu_unified,sgemm,125,125,125,183.105,0.99000001,2,0.01374,0.571
cpu,sgemm,126,126,126,186.047,0.99000001,2,0.11550,0.070
gpu_offloadOnce,sgemm,126,126,126,186.047,0.99000001,2,0.03692,0.218
gpu_offloadAlways,sgemm,126,126,126,186.047,0.99000001,2,0.04429,0.181
gpu_unified,sgemm,126,126,126,186.047,0.99000001,2,0.04124,0.195
cpu,sgemm,127,127,127,189.012,0.99000001,2,0.01464,0.562
gpu_offloadOnce,sgemm,127,127,127,189.012,0.99000001,2,0.03716,0.221
gpu_offloadAlways,sgemm,127,127,127,189.012,0.99000001,2,0.04066,0.202
gpu_unified,sgemm,127,127,127,189.012,0.99000001,2,0.04142,0.199
cpu,sgemm,128,128,128,192.000,0.99000001,2,0.01478,0.570
gpu_offloadOnce,sgemm,128,128,128,192.000,0.99000001,2,0.03703,0.227
gpu_offloadAlways,sgemm,128,128,128,192.000,0.99000001,2,0.02947,0.286
gpu_unified,sgemm,128,128,128,192.000,0.99000001,2,0.03673,0.229
