Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
cpu,sgemm,18,18,18,3.797,0.99000001,2,0.00001,2.630
gpu_offloadOnce,sgemm,18,18,18,3.797,0.99000001,2,0.00021,0.117
gpu_offloadAlways,sgemm,18,18,18,3.797,0.99000001,2,0.00023,0.104
gpu_unified,sgemm,18,18,18,3.797,0.99000001,2,0.00074,0.032
cpu,sgemm,19,19,19,4.230,0.99000001,2,0.00001,3.168
gpu_offloadOnce,sgemm,19,19,19,4.230,0.99000001,2,0.00024,0.117
gpu_offloadAlways,sgemm,19,19,19,4.230,0.99000001,2,0.00024,0.117
gpu_unified,sgemm,19,19,19,4.230,0.99000001,2,0.00071,0.040
cpu,sgemm,20,20,20,4.688,0.99000001,2,0.00001,3.545
gpu_offloadOnce,sgemm,20,20,20,4.688,0.99000001,2,0.00029,0.112
gpu_offloadAlways,sgemm,20,20,20,4.688,0.99000001,2,0.00024,0.136
gpu_unified,sgemm,20,20,20,4.688,0.99000001,2,0.00073,0.045
cpu,sgemm,21,21,21,5.168,0.99000001,2,0.00001,4.163
gpu_offloadOnce,sgemm,21,21,21,5.168,0.99000001,2,0.00020,0.193
gpu_offloadAlways,sgemm,21,21,21,5.168,0.99000001,2,0.00023,0.162
gpu_unified,sgemm,21,21,21,5.168,0.99000001,2,0.00072,0.053
cpu,sgemm,22,22,22,5.672,0.99000001,2,0.00001,4.946
gpu_offloadOnce,sgemm,22,22,22,5.672,0.99000001,2,0.00020,0.218
gpu_offloadAlways,sgemm,22,22,22,5.672,0.99000001,2,0.00029,0.148
gpu_unified,sgemm,22,22,22,5.672,0.99000001,2,0.00069,0.063
cpu,sgemm,23,23,23,6.199,0.99000001,2,0.00001,5.263
gpu_offloadOnce,sgemm,23,23,23,6.199,0.99000001,2,0.00028,0.176
gpu_offloadAlways,sgemm,23,23,23,6.199,0.99000001,2,0.00023,0.214
gpu_unified,sgemm,23,23,23,6.199,0.99000001,2,0.00070,0.071
cpu,sgemm,24,24,24,6.750,0.99000001,2,0.00001,5.787
gpu_offloadOnce,sgemm,24,24,24,6.750,0.99000001,2,0.00022,0.258
gpu_offloadAlways,sgemm,24,24,24,6.750,0.99000001,2,0.00024,0.233
gpu_unified,sgemm,24,24,24,6.750,0.99000001,2,0.00070,0.081
cpu,sgemm,25,25,25,7.324,0.99000001,2,0.00001,6.612
gpu_offloadOnce,sgemm,25,25,25,7.324,0.99000001,2,0.00023,0.273
gpu_offloadAlways,sgemm,25,25,25,7.324,0.99000001,2,0.00027,0.234
gpu_unified,sgemm,25,25,25,7.324,0.99000001,2,0.00073,0.088
cpu,sgemm,26,26,26,7.922,0.99000001,2,0.00001,6.990
gpu_offloadOnce,sgemm,26,26,26,7.922,0.99000001,2,0.00023,0.313
gpu_offloadAlways,sgemm,26,26,26,7.922,0.99000001,2,0.00026,0.272
gpu_unified,sgemm,26,26,26,7.922,0.99000001,2,0.00072,0.099
cpu,sgemm,27,27,27,8.543,0.99000001,2,0.00001,7.561
gpu_offloadOnce,sgemm,27,27,27,8.543,0.99000001,2,0.00024,0.328
gpu_offloadAlways,sgemm,27,27,27,8.543,0.99000001,2,0.00027,0.295
gpu_unified,sgemm,27,27,27,8.543,0.99000001,2,0.00074,0.108
cpu,sgemm,28,28,28,9.188,0.99000001,2,0.00001,8.666
gpu_offloadOnce,sgemm,28,28,28,9.188,0.99000001,2,0.00034,0.265
gpu_offloadAlways,sgemm,28,28,28,9.188,0.99000001,2,0.00030,0.293
gpu_unified,sgemm,28,28,28,9.188,0.99000001,2,0.00077,0.117
cpu,sgemm,29,29,29,9.855,0.99000001,2,0.00001,6.770
gpu_offloadOnce,sgemm,29,29,29,9.855,0.99000001,2,0.00025,0.404
gpu_offloadAlways,sgemm,29,29,29,9.855,0.99000001,2,0.00027,0.370
gpu_unified,sgemm,29,29,29,9.855,0.99000001,2,0.00076,0.131
cpu,sgemm,30,30,30,10.547,0.99000001,2,0.00001,9.959
gpu_offloadOnce,sgemm,30,30,30,10.547,0.99000001,2,0.00029,0.383
gpu_offloadAlways,sgemm,30,30,30,10.547,0.99000001,2,0.00026,0.424
gpu_unified,sgemm,30,30,30,10.547,0.99000001,2,0.00071,0.155
cpu,sgemm,31,31,31,11.262,0.99000001,2,0.00001,10.393
gpu_offloadOnce,sgemm,31,31,31,11.262,0.99000001,2,0.00024,0.514
gpu_offloadAlways,sgemm,31,31,31,11.262,0.99000001,2,0.00026,0.457
gpu_unified,sgemm,31,31,31,11.262,0.99000001,2,0.00090,0.135
cpu,sgemm,32,32,32,12.000,0.99000001,2,0.00001,11.303
gpu_offloadOnce,sgemm,32,32,32,12.000,0.99000001,2,0.11907,0.001
gpu_offloadAlways,sgemm,32,32,32,12.000,0.99000001,2,0.00023,0.574
gpu_unified,sgemm,32,32,32,12.000,0.99000001,2,0.11828,0.001
cpu,sgemm,33,33,33,12.762,0.99000001,2,0.00001,11.235
gpu_offloadOnce,sgemm,33,33,33,12.762,0.99000001,2,0.00044,0.329
gpu_offloadAlways,sgemm,33,33,33,12.762,0.99000001,2,0.00024,0.605
gpu_unified,sgemm,33,33,33,12.762,0.99000001,2,0.00083,0.175
cpu,sgemm,34,34,34,13.547,0.99000001,2,0.00001,13.032
